country_code;population;life_expectancy;human_development_index
Rwanda;13276517.0;69.02;0.543
Saint Helena;6095.0;80.56;
Saint Kitts and Nevis;53546.0;76.23;0.779
Saint Lucia;184401.0;76.2;0.759
Saint Vincent and the Grenadines;111269.0;72.53;0.738
Samoa;200144.0;73.32;0.715
San Marino;34010.0;84.97;
Sao Tome and Principe;223364.0;70.39;0.625
Saudi Arabia;35340680.0;75.13;0.854
Senegal;17196308.0;67.94;0.512
Serbia;6871547.0;76.0;0.806
Seychelles;98910.0;73.4;0.796
Sierra Leone;8141343.0;54.7;0.452
Singapore;5453600.0;83.62;0.938
Sint Maarten (Dutch part);43421.0;78.95;
Slovakia;5460726.0;77.54;0.86
Slovenia;2078723.0;81.32;0.917
Solomon Islands;703995.0;73.0;0.567
Somalia;16359500.0;57.4;
South Africa;60041996.0;64.13;0.709
South Korea;51305184.0;83.03;0.916
South Sudan;11381377.0;57.85;0.433
Spain;46745211.0;83.56;0.904
Sri Lanka;21497306.0;76.98;0.782
Sudan;44909351.0;65.31;0.51
Suriname;591798.0;71.68;0.738
Sweden;10160159.0;82.8;0.945
Switzerland;8715494.0;83.78;0.955
Syria;18275704.0;72.7;0.567
Taiwan;23855008.0;80.46;
Tajikistan;9749625.0;71.1;0.668
Tanzania;61498438.0;65.46;0.529
Thailand;69950844.0;77.15;0.777
Timor;1343875.0;69.5;0.606
Togo;8478242.0;61.04;0.515
Tokelau;1368.0;81.86;
Tonga;106759.0;70.91;0.725
Trinidad and Tobago;1403374.0;73.51;0.796
Tunisia;11935764.0;76.7;0.74
Turkey;85042736.0;77.69;0.82
Turkmenistan;6117933.0;68.19;0.715
Turks and Caicos Islands;39226.0;80.22;
Tuvalu;11925.0;67.57;
Uganda;47123533.0;63.37;0.544
Ukraine;43466822.0;72.06;0.779
United Arab Emirates;9991083.0;77.97;0.89
United Kingdom;68207114.0;81.32;0.932
United States;332915074.0;78.86;0.926
Upper middle income;2513672790.0;;
Uruguay;3485152.0;77.91;0.817
Uzbekistan;33935765.0;71.72;0.72
Vanuatu;314464.0;70.47;0.609
Vatican;812.0;75.12;
Venezuela;28704947.0;72.06;0.711
Vietnam;98168829.0;75.4;0.704
Wallis and Futuna;11094.0;79.94;
Yemen;30490639.0;66.12;0.47
Zambia;18920657.0;63.89;0.584
Zimbabwe;15092171.0;61.49;0.571
