,Id,Retweets#,Favorites#,Mentions#,SenderId,SenderAccountYears,SenderFavorites#,SenderFollowings#,SenderFollowers#,SenderStatues#,Words#,TWords#,UWords#,SlangWords#,AvgWordLength,IsCyberbullying_encode
1,1161962510918045696,3.0,157,0,1935601099,1,0,0,3.0,0,31,8,0,1,4.0,0
2,1162604714976002048,1.0,3,11,927613872390975488,1,0,0,1.0,0,12,2,0,0,5.0,0
3,1163015921205764096,13.0,220,0,1935601099,1,0,0,13.0,0,23,14,0,0,6.0,0
5,1158389499656843264,0.0,0,1,3696241,12,1047,457,0.0,1853,5,1,0,0,7.0,0
6,1158382596990091264,3.0,31,0,15016209,11,0,39,3.0,221392,10,1,0,0,4.0,0
7,1158436336317153280,1.0,13,0,16310319,11,3651,148,1.0,68489,14,3,0,0,6.0,0
8,1158683948517613568,0.0,0,1,15883237,11,14343,898,0.0,2389,10,0,0,1,6.0,1
9,1162627622708191232,3.0,39,0,16626956,11,10,5,3.0,16833,9,0,0,1,6.0,0
12,26640149355,1.0,0,0,23186079,10,67,71,1.0,72643,21,8,1,0,4.0,0
18,468735487717691392,10.0,36,0,60668913,10,88,606,10.0,13221,14,3,0,0,6.0,0
27,825704970607611904,13.0,62,0,60334462,10,209,443,13.0,39435,16,15,0,0,5.0,0
29,921748708135489536,5.0,26,0,68723264,10,6747,291,5.0,15413,11,1,0,0,7.0,0
30,921749647949008896,10.0,55,0,68723264,10,6747,291,10.0,15413,10,1,0,0,8.0,0
40,1095966254647652352,9.0,43,0,60611223,10,14622,1155,9.0,10040,11,2,0,0,5.0,0
42,1110892768208003072,4.0,183,0,62198384,10,6988,261,4.0,10601,7,7,1,0,4.0,0
47,1129071224703868928,4.0,3,0,47070156,10,18,16,4.0,250915,7,3,1,0,6.0,0
53,1146406189883895808,3.0,34,0,31094717,10,0,2,3.0,224253,9,3,0,0,5.0,0
62,1153976367790350336,4.0,9,0,56764903,10,4424,348,4.0,40108,13,4,2,0,6.0,0
64,1154860182616313856,8.0,39,0,69897962,10,2759,577,8.0,1095,34,3,0,0,6.0,0
67,1155838413456773120,13.0,126,0,77189080,10,4,4,13.0,5625,24,6,0,0,7.0,0
69,1157081110595194880,5.0,23,1,56764903,10,4424,348,5.0,40108,38,12,0,0,4.0,0
74,1157675394465718272,2.0,15,1,97453133,10,16941,487,2.0,8524,5,1,0,0,6.0,0
79,1158004953782390784,6.0,61,0,93183233,10,4286,351,6.0,3593,34,2,0,1,6.0,0
81,1158055032677371904,6.0,36,0,69897962,10,2759,577,6.0,1095,30,4,1,0,6.0,0
87,1158244072672452608,0.0,35,0,74397391,10,520,61,0.0,89970,17,5,0,0,4.0,0
91,1158263883422994432,1.0,2,3,38399582,10,2752,699,1.0,10288,22,7,0,0,5.0,0
94,1158312438116343808,11.0,50,0,87282413,10,7808,486,11.0,8470,17,6,1,0,6.0,0
101,1158372488620982272,3.0,31,0,87282413,10,7808,486,3.0,8470,28,4,0,0,6.0,0
102,1158378320972713984,0.0,0,0,74480433,10,3760,349,0.0,9375,5,1,0,1,7.0,1
103,1158378335501766656,0.0,0,0,22540376,10,0,8,0.0,98930,4,1,0,0,7.0,0
104,1158378337716359168,0.0,0,1,66708116,10,1254,1023,0.0,5090,3,1,0,0,16.0,1
105,1158378342732718080,0.0,0,0,21574395,10,604,746,0.0,1204,7,1,0,0,5.0,0
106,1158382503083827200,8.0,10,1,97184872,10,16791,386,8.0,1242,33,7,0,0,5.0,0
107,1158385731192139776,0.0,0,0,93150869,10,8453,386,0.0,7718,19,2,0,0,6.0,0
108,1158389500160172032,0.0,0,1,91635317,10,2997,1055,0.0,1726,6,2,0,0,7.0,0
109,1158389502676742144,0.0,0,0,64215971,10,6857,890,0.0,6609,3,1,0,0,6.0,0
110,1158391302049996800,7.0,9,1,97779384,10,8,4,7.0,311526,8,1,0,0,8.0,0
111,1158393272299134976,0.0,0,1,55537787,10,7171,1034,0.0,14026,13,2,0,1,8.0,1
112,1158397051459309568,0.0,0,0,93148535,10,5453,339,0.0,8115,3,2,1,0,7.0,0
113,1158397056094019584,0.0,0,1,42439482,10,3133,745,0.0,286,36,3,0,0,5.0,0
117,1158408369125961728,0.0,0,0,91879915,10,76,1013,0.0,61957,37,6,0,1,6.0,1
120,1158425950360612864,11.0,23,1,78254937,10,2493,311,11.0,8183,25,5,0,0,7.0,0
121,1158426204099231744,4.0,3,0,66968296,10,335,30,4.0,140618,18,8,2,0,5.0,0
123,1158431020414373888,0.0,0,0,21418513,10,2,5,0.0,330094,40,4,3,0,5.0,0
124,1158431025766326272,0.0,0,0,69827426,10,2854,15,0.0,6015,4,1,0,0,6.0,0
125,1158434795254423552,0.0,0,1,76882928,10,163,238,0.0,139,8,2,0,0,6.0,0
126,1158435145747238912,13.0,11,0,95170409,10,4592,356,13.0,578,24,2,0,0,6.0,0
128,1158661294079324160,0.0,0,1,20672583,10,9327,817,0.0,5311,2,2,0,1,7.0,1
129,1158823619130212352,0.0,0,0,96407750,10,2354,293,0.0,21277,3,1,0,0,5.0,1
130,1158974606331514880,0.0,0,0,94607195,10,18175,78,0.0,7607,29,5,2,0,5.0,0
131,1159045634957160448,0.0,1,1,70888150,10,6142,751,0.0,11453,8,0,0,1,6.0,0
133,1159068589900599296,1.0,1,0,97109536,10,23330,728,1.0,7276,6,1,0,1,5.0,1
136,1159152027844431872,0.0,0,2,93291907,10,2905,311,0.0,5914,14,2,0,0,5.0,0
137,1159163357234176000,0.0,0,0,75350817,10,174,456,0.0,1039,18,3,1,0,5.0,0
138,1159182222295015424,0.0,0,1,41096155,10,29193,1871,0.0,53098,3,2,0,1,6.0,1
139,1159295267935608832,0.0,0,0,91656276,10,1051,177,0.0,1284,4,1,0,1,4.0,1
141,1159404937698320384,0.0,0,0,93479134,10,42086,90,0.0,1797,29,9,9,1,5.0,1
143,1159451768583065600,4.0,4,0,74730822,10,0,51,4.0,42487,25,8,1,0,6.0,0
144,1159499306652643328,0.0,0,1,26574355,10,9056,409,0.0,2725,31,3,0,1,6.0,1
147,1159642638070538240,0.0,0,0,22626881,10,1,39,0.0,325380,13,3,1,0,7.0,0
148,1159684234145144832,0.0,0,2,62247423,10,1532,195,0.0,2128,34,4,0,0,5.0,1
149,1159831514936270848,0.0,0,2,34885996,10,33021,357,0.0,17859,20,6,3,2,6.0,1
151,1160208991038971904,0.0,0,1,91779973,10,1578,480,0.0,317,23,9,0,1,5.0,1
152,1160220306134491136,0.0,0,0,37898549,10,28745,548,0.0,9864,7,2,0,2,7.0,1
154,1160348624414478336,0.0,0,2,94428018,10,2946,544,0.0,9142,10,3,0,1,7.0,1
156,1160469447330676736,0.0,0,0,58467170,10,3308,1269,0.0,4914,11,1,0,1,8.0,1
157,1160541164128411648,0.0,0,0,33880747,10,22907,487,0.0,7765,32,4,0,1,5.0,1
158,1160552487612485632,0.0,0,1,94311180,10,31884,395,0.0,28353,5,1,0,1,4.0,1
159,1160590261870845952,0.0,0,1,62655602,10,399,440,0.0,10510,14,1,0,1,6.0,1
160,1160856732979142656,8.0,71,0,56665222,10,2161,183,8.0,5508,30,6,0,3,6.0,1
161,1161084709306343424,0.0,0,1,85664182,10,7124,313,0.0,12725,42,4,0,2,5.0,1
162,1161141333039427584,0.0,0,2,92243807,10,115,41,0.0,379,6,2,0,1,5.0,1
163,1161201777833848832,0.0,0,1,79134011,10,1291,264,0.0,1983,9,1,0,2,4.0,1
164,1161213108574195712,0.0,0,1,33506068,10,522,445,0.0,10455,9,2,0,0,6.0,1
165,1161930341231341568,0.0,0,1,95494692,10,3787,967,0.0,23007,37,0,0,1,5.0,0
167,1162217185831374848,0.0,0,0,92080832,10,949,77,0.0,1660,6,2,0,1,3.0,1
168,1162221009648226304,0.0,0,1,83736699,10,5478,80,0.0,5266,37,6,1,2,4.0,1
170,1162254988527071232,0.0,0,1,76324893,10,1720,44,0.0,258,17,1,0,1,6.0,1
172,1162387100685221888,0.0,0,0,72528842,10,2044,253,0.0,13269,15,2,0,1,5.0,0
173,1162394658544267264,0.0,0,1,93591316,10,12922,196,0.0,4209,1,1,0,1,7.0,1
174,1162398405022355456,0.0,0,1,76684200,10,16019,168,0.0,1218,11,2,0,1,6.0,1
175,1162436166983008256,0.0,0,0,96954618,10,18386,268,0.0,11991,9,1,0,1,6.0,1
176,1162598454314643456,0.0,0,0,40214064,10,3207,599,0.0,8735,6,1,0,1,6.0,1
177,1162617354045595648,0.0,0,1,94573877,10,6914,1438,0.0,18698,36,4,2,1,6.0,1
178,1162636244351889408,0.0,0,1,73673589,10,17310,227,0.0,6733,8,1,0,1,6.0,0
179,1162730653877788672,1.0,5,3,97184872,10,16791,386,1.0,1242,21,1,0,0,7.0,0
180,1162741957938089984,0.0,0,0,35830834,10,15,21,0.0,46,46,31,4,7,4.0,1
181,1163146162175643648,11.0,10,0,61168062,10,172,12,11.0,526044,15,7,0,0,5.0,0
182,1163157165550526464,0.0,0,0,93150869,10,8453,386,0.0,7718,15,15,15,1,4.0,1
183,1163167410175787008,3.0,3,0,97779384,10,8,4,3.0,311526,2,1,0,0,8.0,0
184,1163194916446584832,0.0,0,2,87805997,10,6213,222,0.0,6324,4,3,2,1,5.0,1
185,1205130347102527488,0.0,0,1,65934938,10,241,652,0.0,30131,14,1,0,1,4.0,0
186,1207038562111238144,0.0,1,0,91804380,10,3622,284,0.0,3540,19,3,0,1,5.0,1
187,1207041564519936000,0.0,2,0,95173061,10,1171,250,0.0,363,20,4,0,0,5.0,1
189,1207246357163106304,0.0,0,3,70692920,10,5746,1451,0.0,19312,32,3,1,0,5.0,1
190,1207262866375684096,1.0,6,0,58465695,10,15523,710,1.0,49604,23,3,1,0,6.0,1
191,1207266855729205248,0.0,0,1,82694145,10,1953,811,0.0,6726,7,1,0,1,3.0,1
192,1207277550109679616,0.0,5,0,87412370,10,51183,375,0.0,18802,7,2,0,1,6.0,0
195,1207298299251896320,0.0,0,1,95435139,10,269,1711,0.0,1420,9,2,0,1,4.0,1
196,69176659365986304,12.0,4,0,214930248,9,850,1185,12.0,24210,12,5,0,0,6.0,0
197,154195031262105600,1.0,0,0,99174814,9,7529,508,1.0,25117,20,0,0,0,5.0,0
198,435761475777732608,1.0,5,1,165594822,9,1803,559,1.0,2664,7,0,0,0,4.0,0
199,492308708638994432,12.0,4,0,117730774,9,0,1,12.0,42546,10,4,0,0,6.0,0
208,1012230593348882432,1.0,32,0,106791383,9,355378,535,1.0,43112,16,1,0,1,5.0,1
209,1028209237992849408,1.0,6,0,108278047,9,44012,702,1.0,26931,29,7,0,0,6.0,0
211,1040694360969494528,13.0,158,0,180291002,9,86905,182,13.0,1671,11,1,0,0,6.0,0
212,1050130641294114816,0.0,1,1,209685034,9,1628,408,0.0,6655,10,4,0,0,5.0,0
214,1058988068865220608,1.0,0,0,153934325,9,956,296,1.0,4606,8,1,0,0,5.0,0
229,1148378751979446272,4.0,2,3,124726283,9,20427,1665,4.0,33328,9,1,0,0,6.0,0
235,1152294822008541184,1.0,27,2,146189635,9,2052,245,1.0,10290,15,1,0,0,5.0,0
236,1152997368817696768,18.0,146,0,120450575,9,13274,463,18.0,4513,36,12,0,1,5.0,1
254,1157962790860132352,3.0,8,1,162348219,9,459,193,3.0,2114,2,0,0,0,5.0,0
265,1158308646377467904,17.0,72,0,219248343,9,0,4,17.0,155988,27,4,1,0,6.0,0
267,1158347290903531520,8.0,61,0,114784239,9,3136,381,8.0,13412,30,20,0,0,7.0,0
273,1158370857892421632,10.0,77,0,185769572,9,7,19,10.0,7617,9,2,0,0,4.0,0
275,1158378311384481792,3.0,0,0,183152161,9,4,331,3.0,74328,20,3,2,1,5.0,0
276,1158378330007248896,0.0,0,1,139436281,9,676,572,0.0,1424,6,2,0,0,5.0,0
277,1158378337380765696,0.0,0,0,167568323,9,3513,12,0.0,1929,8,5,1,0,4.0,0
278,1158378343835885568,0.0,0,2,168834213,9,260,467,0.0,7246,9,1,0,1,6.0,1
280,1158380229792096256,10.0,120,0,127202275,9,1239,311,10.0,8982,4,1,0,0,6.0,0
282,1158385710065487872,0.0,0,1,166304945,9,2716,338,0.0,4388,39,8,0,0,5.0,0
283,1158385716113657856,0.0,0,0,189851121,9,7562,413,0.0,2821,7,2,0,0,7.0,0
284,1158385724426784768,0.0,0,0,178048778,9,2721,350,0.0,3916,26,2,0,1,6.0,0
286,1158385734124019712,0.0,0,0,153042209,9,111,17,0.0,38012,13,3,1,0,5.0,0
287,1158386739267997696,9.0,49,2,172261312,9,1,7,9.0,3812,30,13,1,0,6.0,0
289,1158393286131879936,0.0,0,0,131967319,9,9495,237,0.0,13964,16,0,0,0,5.0,0
290,1158395532601110528,13.0,90,0,212292237,9,2817,485,13.0,8131,15,9,1,0,6.0,0
291,1158400463655579648,0.0,11,1,99728911,9,4072,690,0.0,8470,9,1,0,0,4.0,0
292,1158408368089968640,0.0,0,0,148960365,9,1666,649,0.0,3715,11,2,0,1,5.0,0
294,1158427234992041984,0.0,0,2,120450575,9,13274,463,0.0,4513,6,1,0,0,6.0,0
295,1158427259176464384,0.0,0,1,123619640,9,87921,374,0.0,60086,3,1,0,0,9.0,0
296,1158431028828102656,0.0,0,0,210229845,9,8318,849,0.0,13014,12,1,0,0,5.0,0
297,1158431032267423744,0.0,0,1,102063687,9,7075,270,0.0,21267,7,1,0,0,6.0,0
298,1158431034192605184,0.0,0,2,179478622,9,17123,221,0.0,7635,7,1,0,0,4.0,0
299,1158434786970673152,0.0,0,1,112599358,9,3117,926,0.0,19448,10,1,0,0,5.0,0
300,1158434796827230208,0.0,0,0,129260915,9,48,60,0.0,48,7,3,0,0,7.0,0
301,1158434799993937920,0.0,0,0,172266950,9,92777,455,0.0,37227,4,1,0,0,6.0,0
303,1158441443855392768,9.0,20,0,99159617,9,562,621,9.0,1259,11,2,0,0,7.0,0
304,1158463092117970944,2.0,8,0,147598265,9,23030,548,2.0,7063,20,3,0,1,4.0,1
305,1158480103287984128,0.0,0,1,113884441,9,5195,330,0.0,11145,24,3,0,1,5.0,1
306,1158529048492093440,1.0,1,0,154280892,9,0,0,1.0,25427,12,3,0,2,6.0,1
307,1158631083384217600,0.0,1,0,220756011,9,62693,165,0.0,23332,9,0,0,1,7.0,0
308,1158649953041944576,0.0,0,0,185538960,9,2551,677,0.0,2808,3,2,0,1,8.0,1
309,1158710361228529664,0.0,0,1,103219342,9,9844,691,0.0,3818,7,2,0,1,6.0,1
310,1158737095722070016,0.0,0,0,188155444,9,1330,389,0.0,1895,9,2,0,1,5.0,0
311,1158745429074464768,1.0,0,0,184388793,9,26705,189,1.0,148989,14,1,0,1,4.0,1
312,1158759422103097344,0.0,0,0,181972946,9,15941,176,0.0,24369,28,3,0,3,5.0,1
314,1158842491644387328,0.0,0,0,145969848,9,9204,267,0.0,16122,29,5,0,1,6.0,0
315,1158891527176970240,0.0,0,0,217277565,9,7,941,0.0,188,4,1,0,0,5.0,1
316,1158899063661780992,0.0,0,1,176336946,9,13800,245,0.0,6998,28,7,0,2,6.0,1
317,1158917840252149760,0.0,0,1,194600450,9,16935,197,0.0,4527,4,1,0,2,6.0,1
318,1158921763847323648,0.0,0,0,117436608,9,4554,305,0.0,6212,3,1,0,1,7.0,1
319,1159045641168752640,0.0,2,0,179484617,9,29871,463,0.0,6572,22,11,11,2,5.0,1
320,1159050112057991168,0.0,0,1,98948443,9,10149,116,0.0,1397,30,2,0,1,5.0,0
321,1159076527595827200,0.0,1,1,106583882,9,867,237,0.0,2553,6,1,0,1,4.0,1
323,1159080320655929344,0.0,0,0,151223599,9,2229,470,0.0,6402,9,0,0,1,5.0,1
325,1159110498161516544,0.0,0,1,169984847,9,4372,565,0.0,6700,11,2,0,1,5.0,1
326,1159110503081361408,0.0,0,0,211277854,9,684,270,0.0,621,16,0,0,1,5.0,1
327,1159118051159269376,0.0,0,1,174698344,9,15124,327,0.0,6890,3,1,0,1,4.0,1
328,1159201105869508608,0.0,0,1,214417698,9,484,20,0.0,1836,6,1,1,1,6.0,1
331,1159269035596505088,0.0,0,0,109791258,9,2178,371,0.0,6254,25,2,0,1,5.0,1
332,1159336964325294080,0.0,0,0,160454211,9,2994,345,0.0,63134,16,1,0,1,4.0,0
333,1159340742697005056,0.0,1,0,185169918,9,7060,151,0.0,15126,32,6,0,0,6.0,0
334,1159370964406276096,0.0,0,0,216743295,9,543,43,0.0,990,5,1,0,0,4.0,0
336,1159446467117047808,0.0,0,1,221100136,9,774,125,0.0,2330,5,2,0,0,7.0,0
337,1159450246524612608,0.0,0,1,110806309,9,15946,1395,0.0,10789,10,1,0,1,5.0,1
338,1159454025298927616,0.0,0,2,124726283,9,20427,1665,0.0,33328,6,0,0,0,5.0,0
339,1159472883145592832,0.0,0,1,153229069,9,33189,194,0.0,17188,6,2,0,1,5.0,1
340,1159476674184056832,0.0,0,0,129744757,9,5505,849,0.0,11831,36,6,0,1,6.0,1
342,1159521966778437632,0.0,0,0,176199055,9,3359,966,0.0,2370,10,4,0,0,6.0,0
343,1159638940279857152,0.0,0,1,184838152,9,19262,431,0.0,3958,17,2,0,1,5.0,1
344,1159703131145609216,0.0,0,1,187798017,9,1428,301,0.0,1888,39,5,0,3,5.0,1
346,1159831490621870080,0.0,0,2,122196260,9,21528,697,0.0,9768,8,3,0,0,9.0,0
347,1160031555328364544,0.0,0,0,136894680,9,1030,999,0.0,12733,6,1,0,2,5.0,1
348,1160084427231432704,0.0,0,1,180014062,9,3075,295,0.0,30683,16,1,0,1,5.0,0
350,1160186355256844288,0.0,0,2,134542614,9,2164,134,0.0,20758,4,2,0,1,5.0,1
351,1160193900985929728,0.0,0,0,148266617,9,3254,450,0.0,7479,15,1,0,1,6.0,0
352,1160258068950786048,0.0,0,0,182858718,9,670,136,0.0,10,7,2,0,1,10.0,1
354,1160492085901975552,0.0,0,1,122224117,9,127,114,0.0,116,13,2,0,1,5.0,1
355,1160552485754417152,0.0,0,1,114429601,9,841,270,0.0,286,8,2,0,1,4.0,1
357,1160571365197529088,0.0,0,1,145250275,9,95954,786,0.0,85749,17,2,0,0,5.0,0
359,1160737308234199040,0.0,0,1,149285680,9,919,134,0.0,4656,25,4,0,2,5.0,1
360,1160752217735028736,0.0,0,0,203285701,9,18133,1139,0.0,49796,21,1,0,0,5.0,0
362,1160921532811698176,1.0,3,0,161205514,9,145278,118,1.0,10369,4,0,0,2,5.0,1
363,1160933775624343552,0.0,0,1,168670285,9,14377,134,0.0,19316,22,1,0,2,6.0,1
364,1161005495760621568,0.0,0,1,148093854,9,7329,170,0.0,6608,9,2,0,1,3.0,1
365,1161235753017511936,0.0,0,1,132653163,9,18190,135,0.0,38619,3,1,0,1,5.0,1
366,1161239537449865216,0.0,0,0,146765315,9,2757,488,0.0,314,17,5,0,1,5.0,0
367,1161258404977004544,0.0,0,0,127609507,9,8224,1285,0.0,2938,35,1,0,1,6.0,1
368,1161258409045516288,0.0,0,1,188878965,9,13579,290,0.0,8801,13,4,0,0,5.0,0
369,1161288609883930624,0.0,0,1,190276482,9,766,643,0.0,318,23,1,0,2,5.0,1
370,1161318798726717440,0.0,0,1,197738500,9,20035,522,0.0,35506,9,1,0,2,5.0,1
371,1161431991247679488,0.0,0,3,168073950,9,23442,200,0.0,16177,6,1,0,1,6.0,1
373,1161492395822845952,0.0,0,1,119170221,9,3873,90,0.0,1716,3,3,3,1,9.0,1
376,1161956777002491904,0.0,0,0,178000117,9,4,1045,0.0,52163,16,8,0,1,6.0,1
378,1161975638485544960,0.0,0,3,131596792,9,4228,240,0.0,3919,33,3,0,0,6.0,0
380,1161986964758978560,0.0,0,0,224332516,9,43058,153,0.0,1978,4,1,0,1,4.0,1
381,1161990745378738176,0.0,0,1,124526032,9,46517,373,0.0,17548,3,1,0,1,7.0,1
383,1162073783798304768,0.0,0,0,101055715,9,759,109,0.0,1937,9,1,0,1,5.0,1
385,1162326709586268160,0.0,0,3,117826718,9,16477,585,0.0,9250,34,5,0,2,5.0,1
386,1162345565490995200,0.0,0,1,100967903,9,1337,431,0.0,33004,16,1,0,2,6.0,1
389,1162375764110708736,0.0,0,0,109344086,9,2992,528,0.0,23364,9,1,0,1,5.0,1
390,1162394645143441408,0.0,0,1,166100038,9,3291,473,0.0,8297,6,1,0,0,5.0,0
391,1162432404314886144,0.0,0,1,175137286,9,74,67,0.0,254,2,1,0,1,4.0,1
392,1162451280524206080,0.0,0,1,106049611,9,63914,1666,0.0,10203,7,1,0,1,6.0,1
393,1162519221064130560,0.0,0,1,127963928,9,39528,553,0.0,48619,27,1,0,1,5.0,1
394,1162534325826535424,0.0,0,1,136639064,9,11,136,0.0,1628,2,1,0,1,4.0,1
395,1162613571634769920,0.0,0,1,105111131,9,3705,586,0.0,20520,8,2,0,0,7.0,1
396,1162666452723339264,0.0,0,1,178000117,9,4,1045,0.0,52163,18,4,0,3,6.0,1
397,1162677758604054528,0.0,0,1,180366413,9,15208,1639,0.0,44823,8,2,0,1,6.0,1
398,1162689092334866432,0.0,0,1,136769999,9,1519,1477,0.0,4203,13,1,0,0,5.0,1
400,1162726835114971136,0.0,0,1,228277047,9,18152,567,0.0,11950,4,1,0,1,5.0,1
401,1162730601553809408,0.0,0,2,223199669,9,2588,192,0.0,1034,14,2,0,1,6.0,1
402,1162791003578949632,0.0,0,1,190015637,9,42077,1576,0.0,33170,6,1,0,0,5.0,0
405,1162817439018733568,0.0,0,0,175340160,9,950,325,0.0,5204,5,1,0,1,7.0,1
407,1162892857881124864,0.0,1,0,215368340,9,5928,55,0.0,9722,7,1,0,0,4.0,1
408,1162904257647058944,0.0,0,0,112563230,9,211,48,0.0,1325,10,1,0,1,6.0,1
409,1162938053788413952,0.0,0,0,175459213,9,1013,157,0.0,4539,8,1,0,0,6.0,0
411,1162991061653999616,0.0,0,1,186780379,9,14021,1068,0.0,4245,7,1,0,1,4.0,1
412,1162998626546868224,0.0,0,1,160663454,9,91,180,0.0,79,10,2,0,1,6.0,0
413,1163002407212785664,0.0,0,0,201815756,9,131,451,0.0,453677,9,4,1,0,5.0,0
414,1163009933761294336,0.0,0,3,211275040,9,348,1388,0.0,1566,2,1,0,1,5.0,1
415,1163040147098808320,0.0,0,2,154179927,9,10455,1072,0.0,7550,13,2,1,0,6.0,0
417,1163093001494847488,0.0,0,2,186034779,9,780,234,0.0,5278,30,3,1,1,5.0,1
418,1163104313771794432,0.0,0,1,162769970,9,3833,431,0.0,12272,12,3,0,0,4.0,1
419,1163247690601390080,0.0,2,0,106174898,9,241,13,0.0,551,29,6,1,1,6.0,1
421,1205891192598224896,1.0,0,0,225015031,9,20012,336,1.0,9660,16,3,0,1,5.0,1
422,1206144513489743872,0.0,3,2,144235766,9,7642,260,0.0,8156,20,4,0,2,4.0,1
423,1206267370731376640,0.0,4,3,212265020,9,1664,243,0.0,2253,35,2,0,2,5.0,1
424,1206274624830525440,0.0,0,1,114236672,9,5210,242,0.0,2027,2,1,0,1,5.0,1
425,1206647696414654464,0.0,6,0,150316336,9,4062,222,0.0,27250,36,0,0,5,6.0,1
426,1206656409112383488,0.0,0,1,172233198,9,243,314,0.0,245,32,4,0,3,5.0,1
427,1206996646917287936,0.0,1,0,99182718,9,16210,101,0.0,3186,22,2,0,1,4.0,1
428,1207006386028199936,0.0,0,1,189395249,9,2328,431,0.0,5454,6,1,0,0,4.0,1
429,1207013085086703616,1.0,2,0,116147009,9,140,230,1.0,1337,23,1,0,1,6.0,1
430,1207029695746850816,0.0,0,2,106442579,9,255,207,0.0,2519,3,1,0,2,5.0,1
431,1207042268785455104,0.0,0,2,219924040,9,2316,160,0.0,849,30,1,0,0,6.0,1
432,1207043017925943296,0.0,0,1,172353764,9,1474,454,0.0,9793,14,2,0,3,6.0,1
433,1207043205532962816,0.0,37,3,211987237,9,49619,285,0.0,13874,9,0,0,1,4.0,1
434,1207046369363533824,0.0,0,1,190710828,9,24859,153,0.0,17401,13,4,1,1,4.0,1
435,1207068529788362752,0.0,0,0,223991063,9,3550,368,0.0,9548,25,6,1,2,5.0,1
436,1207070802908209152,0.0,0,0,183571002,9,201,93,0.0,9409,26,1,0,2,5.0,1
437,1207072202971062272,0.0,0,2,125414415,9,912,777,0.0,1099,14,1,0,4,6.0,1
438,1207165976061579264,0.0,0,1,167501060,9,441,69,0.0,547,10,2,0,0,4.0,1
439,1207182424209264640,0.0,0,1,206733618,9,26368,97,0.0,4043,6,1,0,2,5.0,1
440,1207196647610040320,0.0,0,1,184159779,9,3676,192,0.0,1743,25,9,1,1,5.0,1
441,1207208309171916800,0.0,2,1,147182843,9,12824,364,0.0,870,34,6,0,1,5.0,0
442,1207252621335105536,0.0,2,1,163217623,9,16397,389,0.0,60229,18,3,0,1,5.0,1
443,1207268505760026624,0.0,0,1,200305181,9,10924,233,0.0,3369,10,1,0,1,6.0,1
444,1207274349021020160,0.0,0,1,163451589,9,30313,1793,0.0,27097,22,3,0,1,5.0,1
445,1207282455159463936,0.0,0,1,223089078,9,9444,97,0.0,5420,7,1,0,1,4.0,1
447,303946296518119424,14.0,2,0,314863372,8,8808,1835,14.0,62990,12,1,0,0,8.0,0
448,358388118770036736,1.0,1,1,385516556,8,2638,94,1.0,3151,11,2,1,0,4.0,0
454,707270225847160832,10.0,31,1,354274463,8,1576,0,10.0,9605,10,1,0,0,6.0,0
455,730450383861104640,14.0,8,0,367378757,8,8886,1044,14.0,3483,1,1,0,0,8.0,0
460,889588309013430272,1.0,0,0,394776381,8,10796,348,1.0,2829,4,0,0,0,5.0,0
465,984906147038720000,1.0,0,0,339159350,8,2792,181,1.0,2166,15,0,0,0,5.0,0
472,1068220912401551360,1.0,7,0,288714694,8,86850,245,1.0,90927,3,1,0,0,5.0,0
474,1083697121037959168,1.0,1,0,311430278,8,122113,545,1.0,32711,19,3,0,1,5.0,1
481,1114150228884643840,1.0,10,0,288714694,8,86850,245,1.0,90927,25,3,1,0,4.0,0
484,1132687968987226112,4.0,14,2,285685164,8,2,35,4.0,477992,10,6,0,0,4.0,0
486,1139619461982564352,18.0,154,0,331809358,8,7275,640,18.0,4022,17,6,0,0,5.0,0
489,1144329822396657664,7.0,327,0,317885577,8,2070,349,7.0,6689,15,3,0,0,5.0,0
493,1151034828286021632,2.0,16,0,232198426,8,3354,1717,2.0,3887,21,5,0,0,6.0,0
501,1154298962813292544,10.0,13,0,368138398,8,344,69,10.0,2498,10,4,1,0,7.0,0
507,1155881181415727104,3.0,30,0,230478495,8,41,46,3.0,200,28,3,1,0,7.0,0
509,1156267572494524416,3.0,11,0,355238635,8,2731,75,3.0,30487,34,14,4,0,5.0,0
514,1156601135492403200,10.0,7,10,233126605,8,26683,1139,10.0,16969,17,2,0,0,6.0,0
516,1156909344149188608,2.0,11,1,261702971,8,842,144,2.0,2796,8,7,5,0,7.0,0
520,1157201566920794112,2.0,10,0,302688107,8,13667,527,2.0,6383,18,5,1,1,4.0,0
534,1157664011095281664,3.0,13,0,436555067,8,2947,433,3.0,845,23,6,0,0,5.0,0
538,1157764509605531648,1.0,32,0,288454336,8,18433,392,1.0,21216,3,1,0,0,6.0,0
548,1158029241746898944,7.0,50,0,289986591,8,13,47,7.0,3780,37,7,1,0,6.0,0
549,1158065054853607424,11.0,223,0,330460928,8,34974,1128,11.0,34572,21,6,0,1,6.0,0
552,1158110508358279168,1.0,6,0,346798341,8,6919,247,1.0,1488,8,1,0,0,6.0,0
553,1158112955642331136,18.0,54,1,256665334,8,2009,1626,18.0,130486,8,3,0,1,5.0,0
561,1158289931384627200,2.0,3,1,252990071,8,6,33,2.0,9059,10,8,1,0,6.0,0
563,1158299956782018560,2.0,3,0,289903090,8,9076,1014,2.0,21334,7,1,0,0,6.0,0
570,1158355683882012672,1.0,1,1,288454336,8,18433,392,1.0,21216,9,2,0,0,5.0,0
