,Id,Retweets#,Favorites#,Mentions#,SenderId,SenderAccountYears,SenderFavorites#,SenderFollowings#,SenderFollowers#,SenderStatues#,Words#,TWords#,UWords#,SlangWords#,AvgWordLength,IsCyberbullying_encode
3567,1160892221777960960,0.0,0,0,946089662476640256,1,239,83,0.0,38,5,0,0,1,7.0,1
3568,1160899773718769664,0.0,0,1,1069671662562566144,1,4563,753,0.0,1711,3,3,1,1,4.0,1
3569,1160911116098265088,0.0,0,0,1035496795768606720,1,1744,351,0.0,2470,9,1,0,2,5.0,1
3571,1160926214095118336,0.0,0,0,1070435620974149632,1,4670,1056,0.0,180,8,1,0,1,6.0,1
3572,1160937531560644608,0.0,0,0,1060809050521325568,1,3625,175,0.0,398,10,1,0,0,5.0,0
3573,1160945086861074432,0.0,0,1,1065546809173573632,1,12099,84,0.0,11753,23,0,0,2,5.0,1
3574,1160945099339194368,0.0,0,1,993888011078262784,1,1115,70,0.0,145,12,1,0,0,6.0,0
3575,1160971496409522176,0.0,0,0,954137342675161088,1,11053,512,0.0,1304,11,5,0,0,5.0,0
3576,1161001713039486976,0.0,0,1,1010791610240634880,1,232,63,0.0,75,2,1,0,1,5.0,1
3577,1161009256952401920,0.0,0,1,979604945396817920,1,1112,112,0.0,455,4,1,0,1,4.0,0
3578,1161040692094873600,0.0,4,0,1068630948663762944,1,788,69,0.0,152,10,1,0,1,8.0,1
3580,1161137500326367232,0.0,0,1,1004461068654120960,1,211,621,0.0,735,10,2,0,1,4.0,1
3581,1161156457997438976,0.0,0,0,1054661431348596736,1,51,8,0.0,37,25,1,0,1,6.0,1
3582,1161160253557366784,0.0,2,0,1026824226332966912,1,1235,1666,0.0,500,24,1,0,0,5.0,1
3583,1161179118609797120,0.0,0,0,1057278755981410304,1,14644,1317,0.0,29011,7,2,0,1,8.0,1
3584,1161182880590106624,0.0,0,0,970425245407547392,1,5,91,0.0,17,18,3,0,1,6.0,1
3585,1161198002133970944,0.0,0,0,991076894857682944,1,10049,142,0.0,827,20,1,0,1,6.0,1
3586,1161224240449933312,1.0,4,0,1053561936091246592,1,3156,750,1.0,378,7,0,0,1,4.0,1
3587,1161247077730533376,0.0,0,3,1012473000480985088,1,138124,673,0.0,8244,6,0,0,1,5.0,1
3588,1161250839736016896,0.0,0,1,964901349300342784,1,18127,207,0.0,5794,8,1,0,2,4.0,1
3589,1161258383011471360,0.0,1,1,1033021264062021632,1,30595,1633,0.0,12942,6,2,0,1,6.0,1
